"",Set,Count
27093,"(13, 43)",71
4727,"(44, 9)",71
4369,"(36, 9)",71
1431,"(19, 9)",71
3964,"(16, 33)",71
7939,"(37, 5)",71
1945,"(39, 7)",71
2302,"(2, 37)",71
3914,"(1, 43)",71
3690,"(38, 49)",71
3174,"(23, 42)",71
7779,"(10, 9)",71
1694,"(10, 21)",71
6787,"(41, 48)",71
16343,"(6, 8)",71
2598,"(3, 35)",71
10922,"(14, 46)",71
8218,"(20, 35)",71
9553,"(3, 45)",71
2042,"(27, 29)",71
9470,"(31, 7)",71
1785,"(18, 48)",71
2551,"(28, 29)",71
2932,"(16, 49)",71
8217,"(11, 20)",71
2545,"(11, 13)",71
407,"(21, 40)",71
2198,"(26, 35)",71
576,"(31, 35)",70
4989,"(47, 9)",70
1126,"(30, 5)",70
6163,"(29, 37)",70
1641,"(24, 25)",70
8054,"(12, 20)",70
3267,"(10, 23)",70
577,"(31, 36)",70
631,"(2, 8)",70
634,"(8, 9)",70
172,"(14, 32)",70
65,"(19, 7)",70
737,"(15, 16)",70
851,"(21, 6)",70
900,"(16, 17)",70
13252,"(7, 8)",70
2048,"(3, 42)",70
1013,"(17, 6)",70
7124,"(44, 47)",70
1174,"(13, 35)",70
8415,"(15, 32)",70
958,"(39, 49)",70
3918,"(41, 44)",70
1427,"(16, 28)",70
1434,"(39, 4)",70
1991,"(23, 4)",70
4142,"(13, 41)",70
2982,"(13, 2)",70
1430,"(19, 39)",70
2501,"(33, 43)",70
1276,"(1, 25)",70
4862,"(32, 35)",70
8494,"(10, 17)",70
7542,"(35, 7)",70
2552,"(29, 33)",70
5603,"(49, 9)",70
3594,"(1, 33)",70
2988,"(37, 42)",69
6872,"(37, 7)",69
1173,"(13, 27)",69
2497,"(23, 33)",69
2396,"(11, 27)",69
3271,"(23, 39)",69
11672,"(27, 39)",69
513,"(24, 40)",69
2791,"(11, 36)",69
355,"(31, 8)",69
1594,"(31, 33)",69
1990,"(23, 25)",69
3173,"(23, 31)",69
9637,"(12, 41)",69
7894,"(3, 39)",69
957,"(39, 45)",69
1735,"(2, 31)",69
4986,"(37, 9)",69
1072,"(34, 37)",69
